Vardas                  Pavarde                 ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    ND15    Egz.    
Vardas1                 Pavarde1                8       7       6       9       7       6       7       7       3       6       2       3       8       6       2       3       
Vardas2                 Pavarde2                1       7       8       9       2       3       1       2       5       4       5       8       9       2       10      8       
Vardas3                 Pavarde3                7       5       6       7       8       4       7       5       6       2       8       4       4       1       9       3       
Vardas4                 Pavarde4                8       6       3       1       10      10      8       2       3       2       4       3       9       4       3       7       
Vardas5                 Pavarde5                8       1       6       4       9       7       2       8       6       7       6       5       7       1       5       8       
Vardas6                 Pavarde6                6       5       2       1       8       1       7       8       8       1       2       2       5       8       6       5       
Vardas7                 Pavarde7                4       7       9       6       4       2       8       9       1       7       2       3       8       10      6       6       
Vardas8                 Pavarde8                6       5       7       5       3       4       9       1       1       8       4       9       9       6       1       7       
Vardas9                 Pavarde9                3       2       3       7       8       2       5       7       10      3       1       7       2       1       9       6       
Vardas10                Pavarde10               7       3       10      2       6       7       5       1       3       3       2       2       8       1       10      1       
Vardas11                Pavarde11               6       1       4       3       8       9       10      6       7       4       3       6       6       1       6       5       
Vardas12                Pavarde12               10      7       5       10      9       4       4       6       1       3       10      4       5       10      7       6       
Vardas13                Pavarde13               2       5       4       9       5       4       4       2       2       10      2       5       7       2       9       9       
Vardas14                Pavarde14               8       4       6       1       9       4       8       2       8       1       2       3       1       2       4       2       
Vardas15                Pavarde15               8       1       3       6       2       1       3       8       7       2       10      9       9       4       8       2       
Vardas16                Pavarde16               5       1       3       1       10      2       8       9       1       5       6       6       1       1       1       1       
Vardas17                Pavarde17               7       3       3       8       10      1       10      8       5       4       1       6       6       8       1       9       
Vardas18                Pavarde18               10      6       10      9       7       3       2       6       5       10      6       1       6       7       4       2       
Vardas19                Pavarde19               8       7       8       3       2       9       9       2       4       7       6       4       2       7       2       8       
Vardas20                Pavarde20               4       4       2       9       2       7       2       8       6       6       4       4       3       3       3       7       
Vardas21                Pavarde21               6       2       7       7       6       3       2       1       2       10      1       3       6       7       1       1       
Vardas22                Pavarde22               4       7       5       7       7       4       6       7       1       4       9       4       1       6       10      6       
Vardas23                Pavarde23               2       1       4       9       1       8       3       1       1       8       1       6       3       1       7       10      
Vardas24                Pavarde24               1       6       6       5       2       5       6       5       5       3       3       9       1       10      8       4       
Vardas25                Pavarde25               1       6       9       8       4       1       6       4       4       5       7       10      8       4       2       8       
Vardas26                Pavarde26               2       10      7       5       10      1       10      5       7       5       2       8       1       10      9       6       
Vardas27                Pavarde27               3       6       2       3       2       6       3       1       7       3       5       1       8       9       6       4       
Vardas28                Pavarde28               10      3       9       8       5       9       8       3       2       7       10      7       2       9       1       2       
Vardas29                Pavarde29               9       2       5       9       4       5       6       8       7       2       9       7       3       8       7       2       
Vardas30                Pavarde30               4       2       4       5       10      6       2       9       3       6       5       8       3       3       2       10      
Vardas31                Pavarde31               10      4       2       1       1       10      2       6       10      10      9       2       5       3       7       4       
Vardas32                Pavarde32               5       8       9       5       6       4       9       10      7       4       3       10      7       1       10      6       
Vardas33                Pavarde33               3       3       9       2       10      8       7       3       3       9       3       3       9       10      4       4       
Vardas34                Pavarde34               9       1       6       6       5       7       7       8       3       8       8       1       9       6       5       8       
